President,Born Date,In Date,Age in,Out Date,Age out,Dead Date,Age dead,Periodo de postgobierno
Guadalupe Victoria,1786-09-29,1824-10-10,38,1829-03-31,42,1843-03-20,56,"13 años, 344 días"
Vicente Guerrero,1782-08-10,1829-04-01,46,1829-12-17,47,1831-02-14,48,"1 año, 59 días"
José María Bocanegra,1787-05-25,1829-12-17,42,1829-12-23,42,1862-07-23,75,"32 años, 213 días"
Anastasio Bustamante,1780-07-27,1830-01-01,49,1832-08-13,52,1853-02-06,72,"4 años, 247 díasPeriodo hasta que volvió a ocupar el cargo"
Melchor Múzquiz,1790-01-05,1832-08-13,42,1832-12-24,42,1844-12-14,54,"11 años, 355 días"
Manuel Gómez Pedraza,1789-04-22,1832-12-24,43,1833-03-31,43,1851-05-14,62,"18 años, 44 días"
Valentín Gómez Farías,1781-02-14,1833-04-01,52,1833-05-16,52,1858-07-05,77,18 díasPeriodo hasta que volvió a ocupar el cargo
Antonio López de Santa Anna,1794-02-21,1833-05-16,39,1833-06-03,39,1876-06-21,82,15 díasPeriodo hasta que volvió a ocupar el cargo
Miguel Barragán,1789-03-08,1835-01-28,45,1836-02-27,46,1836-03-01,46,3 días
José Justo Corro,1794-07-19,1836-02-27,40,1837-04-19,41,1864-12-18,70,"27 años, 243 días"
Nicolás Bravo,1786-09-10,1839-07-10,52,1839-07-18,52,1854-04-22,67,"3 años, 100 díasPeriodo hasta que volvió a ocupar el cargo"
Francisco Javier Echeverría,1797-07-25,1841-09-22,44,1841-10-10,44,1852-09-17,55,"11 años, 343 días"
Valentín Canalizo,1794-02-12,1843-09-06,49,1844-06-04,50,1850-02-20,56,109 díasPeriodo hasta que volvió a ocupar el cargo
José Joaquín de Herrera,1792-02-23,1844-09-12,52,1844-09-21,52,1854-02-10,61,76 díasPeriodo hasta que volvió a ocupar el cargo
Mariano Paredes,1797-01-07,1845-12-30,47,1846-07-28,48,1849-09-07,52,"4 años, 41 días"
José Mariano Salas,1797-05-11,1846-08-06,49,1846-12-23,49,1867-12-24,70,"12 años, 29 díasPeriodo hasta que volvió a ocupar el cargo"
Pedro María Anaya,1794-05-20,1847-04-02,52,1847-05-20,53,1854-03-21,59,177 díasPeriodo hasta que volvió a ocupar el cargo
Manuel de la Peña y Peña,1789-03-10,1847-09-16,58,1847-11-13,58,1850-01-02,60,56 díasPeriodo hasta que volvió a ocupar el cargo
Mariano Arista,1802-07-26,1851-01-15,48,1853-01-05,50,1855-08-07,53,"2 años, 214 días"
Juan Bautista Ceballos,1811-05-13,1853-01-05,41,1853-02-08,41,1859-08-20,48,"6 años, 193 días"
Manuel María Lombardini,1802-07-23,1853-02-08,50,1853-04-20,50,1853-12-22,51,246 días
Martín Carrera,1806-12-20,1855-08-15,48,1855-09-12,48,1871-04-22,64,"15 años, 222 días"
Rómulo Díaz de la Vega,1800-05-23,1855-09-12,55,1855-10-03,55,1877-10-03,79,22 años
Juan N. Álvarez Hurtado,1790-01-27,1855-10-03,65,1855-12-11,65,1867-08-21,77,"11 años, 253 días"
Ignacio Comonfort,1812-03-12,1855-12-11,43,1858-01-21,45,1863-11-13,51,"5 años, 296 días"
Benito Juárez,1806-03-21,1858-01-21,51,1872-07-18,66,1872-07-18,66,-
Félix María Zuloaga,1803-03-31,1858-01-21,54,1858-12-24,55,1898-02-11,94,"39 años, 49 días"
Manuel Robles Pezuela,1817-05-23,1858-12-24,41,1859-01-21,41,1862-03-23,44,"3 años, 61 días"
Mariano Salas,1797-05-11,1859-01-21,61,1859-02-02,61,1867-12-24,70,"8 años, 325 días"
Miguel Miramón,1831-09-29,1859-02-02,27,1860-08-13,28,1867-06-19,35,2 díasPeriodo hasta que volvió a ocupar el cargo
José Ignacio Pavón,1791-08-11,1860-08-13,69,1860-08-15,69,1866-05-25,74,"5 años, 283 días"
Emperador Maximiliano I,1832-07-06,1864-04-10,31,1867-06-19,34,1867-06-19,34,-
Sebastián Lerdo de Tejada,1823-04-24,1872-07-18,49,1876-11-20,53,1889-04-21,65,"12 años, 152 días"
José María Iglesias,1823-01-05,1876-11-20,53,1876-12-06,53,1891-12-17,68,"15 años, 11 días"
Porfirio Díaz,1830-09-15,1876-11-27,46,1876-12-06,46,1915-07-02,84,73 díasPeriodo hasta que volvió a ocupar el cargo
Juan N. Méndez,1820-07-02,1876-12-06,56,1877-02-17,56,1894-11-29,74,"17 años, 285 días"
Manuel González,1833-06-17,1880-12-01,47,1884-11-30,51,1893-05-08,59,"9 años, 159 días"
Francisco León de la Barra,1863-06-16,1911-05-25,47,1911-11-06,48,1939-09-23,76,"27 años, 321 días"
Francisco I. Madero,1873-10-30,1911-11-06,38,1913-02-19,39,1913-02-22,39,3 días
Pedro Lascuráin,1856-05-12,1913-02-19,56,1913-02-19,56,1952-07-21,96,"39 años, 152 días"
Victoriano Huerta,1845-03-23,1913-02-19,67,1914-07-15,69,1916-01-13,70,"1 año, 182 días"
Francisco Carvajal,1870-12-09,1914-07-15,43,1914-08-13,43,1932-09-30,61,"18 años, 46 días"
Eulalio Gutiérrez Ortiz,1881-02-02,1914-11-06,33,1915-01-16,33,1939-08-12,58,"24 años, 208 días"
Roque González Garza,1885-03-23,1915-01-16,29,1915-06-09,30,1962-11-12,77,"47 años, 156 días"
Francisco Lagos Cházaro,1878-09-30,1915-06-09,36,1915-10-10,37,1932-11-13,54,"17 años, 34 días"
Venustiano Carranza,1859-12-29,1914-08-13,54,1920-05-21,60,1920-05-21,60,-
Adolfo de la Huerta,1881-05-26,1920-06-01,39,1920-11-30,39,1955-07-09,74,"34 años, 221 días"
Álvaro Obregón,1880-02-19,1920-12-01,40,1924-11-30,44,1928-07-17,48,"3 años, 230 días"
Plutarco Elías Calles,1877-09-25,1924-12-01,47,1928-11-30,51,1945-10-19,68,"16 años, 323 días"
Emilio Portes Gil,1890-10-03,1928-12-01,38,1930-02-05,39,1978-12-10,88,"48 años, 308 días"
Pascual Ortiz Rubio,1877-03-10,1930-02-05,52,1932-09-02,55,1963-11-04,86,"31 años, 63 días"
Abelardo L. Rodríguez,1889-05-12,1932-09-02,43,1934-11-30,45,1967-02-13,77,"32 años, 75 días"
Lázaro Cárdenas,1895-05-21,1934-12-01,39,1940-11-30,45,1970-10-19,75,"29 años, 323 días"
Manuel Ávila Camacho,1897-04-24,1940-12-01,43,1946-11-30,49,1955-10-13,58,"8 años, 317 días"
Miguel Alemán Valdés,1900-09-29,1946-12-01,46,1952-11-30,52,1983-05-14,82,"30 años, 165"
Adolfo Ruiz Cortines,1889-12-30,1952-12-01,62,1958-11-30,68,1973-12-03,83,"15 años, 3 días"
Adolfo López Mateos,1909-05-26,1958-12-01,49,1964-11-30,55,1969-09-22,60,"4 años, 296 días"
Gustavo Díaz Ordaz,1911-03-12,1964-12-01,53,1970-11-30,59,1979-07-15,68,"8 años, 227 días"
